time,AUV5_Error,AUV6_Error,AUV7_Error,AUV8_Error,AUV9_Error
275.7,0.004077436,0.004637207,0.003678219,0.004912275,0.005719863
275.8,0.00397844,0.004471271,0.003619865,0.005906086,0.006574551
275.9,0.005457475,0.005760045,0.00522628,0.006972143,0.007030002
276,0.007122458,0.007311801,0.006943786,0.007731096,0.007163614
276.1,0.008321697,0.008449415,0.008149859,0.008178775,0.007293419
276.2,0.008546244,0.008643428,0.00836506,0.008073092,0.007212987
276.3,0.00784549,0.007944966,0.00765292,0.007360627,0.006685554
276.4,0.006642307,0.006789565,0.00643129,0.006251709,0.005784178
276.5,0.005486187,0.00572724,0.005245994,0.005097729,0.004788106
276.6,0.004793879,0.005139474,0.004522054,0.004168178,0.003943823
276.7,0.004656561,0.005056836,0.004364228,0.003626843,0.003421337
276.8,0.004736807,0.005129393,0.004440997,0.00344284,0.003210053
276.9,0.004679826,0.005035202,0.004383212,0.003395444,0.003098432
277,0.004314474,0.004647145,0.004005874,0.003263516,0.002858132
277.1,0.003734174,0.00410096,0.003398476,0.002976852,0.002457577
277.2,0.003215358,0.003664876,0.002833313,0.002676339,0.002058598
277.3,0.002964444,0.0034747,0.002539729,0.002567934,0.001923112
277.4,0.002947014,0.003461882,0.002525308,0.002665205,0.002099348
277.5,0.003110207,0.003579136,0.002726898,0.002793583,0.00142236
277.6,0.002707219,0.003175766,0.002253855,0.003305069,0.002816521
277.7,0.002268958,0.002782211,0.001712969,0.00455737,0.005080129
277.8,0.003704276,0.004104111,0.003461903,0.005976783,0.00666589
277.9,0.005539786,0.005867197,0.005429478,0.006773262,0.007222389
278,0.006365955,0.006686852,0.006300722,0.006449649,0.006441774
278.1,0.006651412,0.00697485,0.006579234,0.005724619,0.005225607
278.2,0.006533108,0.006850007,0.006411109,0.005117709,0.004332232
278.3,0.006043494,0.006343161,0.005855276,0.00468348,0.003874164
278.4,0.005956978,0.006212493,0.005735435,0.005183235,0.004596409
278.5,0.006095882,0.006303153,0.005889298,0.005997835,0.005557681
278.6,0.006098039,0.006298186,0.005931966,0.006402233,0.005963793
278.7,0.005859326,0.006099667,0.005736173,0.006233605,0.005727271
278.8,0.005447602,0.005738607,0.005348625,0.005587536,0.005005206
278.9,0.004966353,0.005306939,0.004855298,0.004604462,0.004008771
279,0.004505427,0.004879636,0.004347117,0.003534205,0.003008341
279.1,0.004139909,0.004523707,0.003921684,0.002720856,0.002361985
279.2,0.003932211,0.004290397,0.003659998,0.00245526,0.002323521
279.3,0.003803722,0.004091148,0.003477021,0.002639965,0.002656121
279.4,0.003693347,0.003976501,0.003319124,0.002879545,0.002998344
279.5,0.003733546,0.004046302,0.003327049,0.002845251,0.00234514
279.6,0.003338825,0.00373219,0.002860465,0.003153925,0.00315576
279.7,0.002805925,0.003297575,0.002260141,0.00434484,0.00515977
279.8,0.003797014,0.004197789,0.003504504,0.005744212,0.006598991
279.9,0.005537736,0.005833922,0.005394589,0.006524498,0.007050968
280,0.0065755,0.00684675,0.006466523,0.006340722,0.006415536
280.1,0.006528537,0.006808764,0.00638144,0.005354298,0.004877391
280.2,0.005900216,0.006207341,0.005697013,0.004206263,0.003398878
280.3,0.004823389,0.005198699,0.004560593,0.002882523,0.002162979
280.4,0.004052935,0.004487671,0.003747119,0.002339193,0.00221433
280.5,0.003872567,0.004298344,0.003575625,0.002610161,0.002832261
280.6,0.004119272,0.004501335,0.003864446,0.002968383,0.003133082
280.7,0.005127332,0.00543873,0.00493693,0.004107476,0.004030294
280.8,0.006007736,0.006291019,0.005854401,0.005150429,0.00488896
280.9,0.006301111,0.00658733,0.006161516,0.005618461,0.005247255
281,0.006026957,0.006332821,0.005883563,0.005524943,0.005097545
281.1,0.00538845,0.005735274,0.005215514,0.005028609,0.004570747
281.2,0.004681275,0.005087817,0.004441114,0.004372908,0.00389014
281.3,0.004137689,0.004591473,0.003811258,0.00388827,0.003379962
281.4,0.003894431,0.004362065,0.003510626,0.003772202,0.003239544
281.5,0.003919279,0.00438413,0.003528624,0.003863043,0.00271851
281.6,0.003518043,0.004007063,0.003084256,0.004255702,0.003605403
281.7,0.003015739,0.003555458,0.002500491,0.005166488,0.005440705
281.8,0.003913373,0.004353494,0.003556212,0.006210024,0.006690474
281.9,0.005470761,0.005778451,0.005234309,0.00673189,0.006956318
282,0.0064801,0.006707666,0.006283204,0.006492106,0.006305921
282.1,0.006629924,0.006822828,0.006429346,0.005599717,0.005058304
282.2,0.005958813,0.006187491,0.005723334,0.004300475,0.003576689
282.3,0.004491941,0.004889319,0.004171894,0.002411223,0.001619066
282.4,0.003853121,0.00436339,0.003473818,0.002092881,0.001902624
282.5,0.00469341,0.005103712,0.004394331,0.003648733,0.003684469
282.6,0.005756117,0.00606335,0.005528597,0.004930677,0.004895256
282.7,0.00622357,0.006500466,0.006025281,0.005515875,0.005351301
282.8,0.005666104,0.005975111,0.005459467,0.005113121,0.004778631
282.9,0.004472806,0.004848764,0.004221519,0.003983345,0.003431669
283,0.004224344,0.004604539,0.003961358,0.003774686,0.003188137
283.1,0.005062002,0.005361946,0.004842305,0.004652926,0.0042378
283.2,0.005946186,0.006187124,0.005757791,0.005574634,0.005267763
283.3,0.006362241,0.006578528,0.006178497,0.00601351,0.005763835
283.4,0.006285584,0.006512214,0.006082316,0.00592574,0.005701033
283.5,0.005859276,0.006130906,0.005618956,0.005372962,0.004783497
283.6,0.004873144,0.005221939,0.004571771,0.004852645,0.004523439
283.7,0.003655397,0.004129897,0.0032514,0.005050956,0.005494791
283.8,0.00382682,0.004307104,0.003495897,0.00586587,0.006451823
283.9,0.00520796,0.005568845,0.004999584,0.006380559,0.006636748
284,0.006241816,0.006536378,0.006072646,0.006159336,0.005952401
284.1,0.006442043,0.006718692,0.00626631,0.005249677,0.004647996
284.2,0.005871379,0.006167214,0.005669739,0.004001071,0.00316978
284.3,0.004864535,0.005218429,0.00462274,0.002959909,0.002257902
284.4,0.003867715,0.00429667,0.003571503,0.002769203,0.002530844
284.5,0.002454449,0.003095588,0.001972636,0.002293208,0.002125479
284.6,0.002445422,0.003130867,0.001952147,0.002102627,0.001434162
284.7,0.004085274,0.004555788,0.003799358,0.003107315,0.002287372
284.8,0.005445935,0.005824686,0.005227884,0.004210088,0.003480877
284.9,0.006079035,0.006446009,0.00587494,0.0048825,0.004262924
285,0.005936586,0.006360389,0.005711397,0.00505443,0.004544286
285.1,0.005087603,0.00564482,0.004795424,0.004613619,0.004217202
285.2,0.003865713,0.004413202,0.003451599,0.003299671,0.002947419
285.3,0.003941785,0.00410416,0.003572487,0.00285525,0.002550853
285.4,0.005250959,0.005101335,0.005025045,0.004065609,0.003860095
285.5,0.006508995,0.006272882,0.006359138,0.005342952,0.004801544
285.6,0.006908713,0.006685952,0.006782675,0.00624759,0.005968906
285.7,0.006558552,0.006407265,0.00642745,0.006945821,0.007235937
285.8,0.006393494,0.006359345,0.006267064,0.007421836,0.007869595
285.9,0.006692808,0.006749491,0.006571366,0.007333267,0.00756134
286,0.00690249,0.007026758,0.006770026,0.006605446,0.00643829
286.1,0.006603045,0.006798151,0.006437853,0.005367708,0.004825585
286.2,0.005758017,0.006044648,0.005530565,0.003852941,0.003059267
286.3,0.004628024,0.005047164,0.004295678,0.002300994,0.00145271
286.4,0.00359082,0.004165883,0.003111284,0.001104061,0.000549223
286.5,0.003086509,0.003745877,0.002508746,0.001220771,0.001139694
286.6,0.003269206,0.003880244,0.002756508,0.002107159,0.001870207
286.7,0.00383038,0.004347109,0.003431947,0.002955637,0.002577685
286.8,0.004433834,0.004880767,0.004109054,0.003632337,0.003259034
286.9,0.004025834,0.004493559,0.00365622,0.003037404,0.002651324
287,0.003109617,0.003686576,0.0025904,0.001839758,0.001244992
287.1,0.003270533,0.003836,0.002759781,0.002573478,0.002176905
287.2,0.004235925,0.004712198,0.003847434,0.004115725,0.003849895
287.3,0.005067913,0.005498481,0.004750879,0.005249095,0.005037234
287.4,0.005464301,0.005884643,0.005177132,0.00573112,0.005559359
287.5,0.005349171,0.005797594,0.005062926,0.005388049,0.00482548
287.6,0.004271444,0.004751617,0.003939083,0.004501893,0.004080848
287.7,0.003409293,0.003787695,0.003040961,0.0047663,0.005170045
287.8,0.005084737,0.005215201,0.004899214,0.006547971,0.007030219
287.9,0.007378902,0.007408528,0.007271659,0.00799817,0.008151895
288,0.008762688,0.008761091,0.008666351,0.008370064,0.008155778
288.1,0.008870391,0.008878006,0.008759096,0.007691301,0.007236947
288.2,0.007851544,0.007897864,0.007708242,0.006331633,0.005794867
288.3,0.006139802,0.006263496,0.005942678,0.004734306,0.004286861
288.4,0.004345544,0.00459692,0.00404363,0.00341838,0.003160295
288.5,0.003122131,0.003552044,0.00267452,0.002743224,0.002578621
288.6,0.002815413,0.003369993,0.00228992,0.002497503,0.002232574
288.7,0.002900682,0.003491254,0.002386469,0.002361719,0.001862911
288.8,0.002922813,0.003532398,0.002415697,0.002310345,0.001602571
288.9,0.002973673,0.003565178,0.00247786,0.00250815,0.001776186
289,0.003240723,0.003773801,0.002787821,0.002929675,0.00231143
